UniProt	GeneSymbol	GATA4_expanded	TBX5_expanded	NKX25_expanded
O14744	PRMT5	1	1	0
Q15208	NA	1	1	0
P54105	CLNS1A	1	1	0
Q9BXF3	CECR2	1	1	0
Q96T23	RSF1	1	1	0
Q9BZH6	NA	1	1	0
Q13185	CBX3	1	1	0
P49450	NA	1	1	0
P07199	NA	1	1	0
Q03188	CENPC	1	1	0
Q9H3R5	CENPH	1	1	0
Q92674	NA	1	1	0
Q9BS16	CENPK	1	1	0
Q8N0S6	CENPL	1	1	0
Q9NSP4	CENPM	1	1	0
Q9BU64	CENPO	1	1	0
Q53SF7	NA	1	1	0
Q13619	CUL4A	1	1	0
Q16531	DDB1	1	1	0
P22087	FBL	1	1	0
P11021	HSPA5	1	1	0
Q02241	KIF23	1	1	0
Q6T4P5	NA	1	1	0
Q71F23	CENPU	1	1	0
Q8N1F7	NUP93	1	1	0
Q9H0H5	RACGAP1	1	1	0
Q8NEM2	NA	1	1	0
Q08945	SSRP1	1	1	0
Q9Y5B9	SUPT16H	1	1	0
Q5T200	ZC3H13	1	1	0
Q9H875	NA	1	1	0
Q96GM8	NA	1	1	0
Q9UHI6	DDX20	1	1	0
O14893	GEMIN2	1	1	0
Q16637	SMN1; SMN2	1	1	0
P57678	GEMIN4	1	1	0
Q8TEQ6	GEMIN5	1	1	0
Q8WXD5	GEMIN6	1	1	0
Q9H840	GEMIN7	1	1	0
Q9NWZ8	NA	1	1	0
Q9Y294	ASF1A	1	1	0
Q9NVP2	ASF1B	1	1	0
Q13111	CHAF1A	1	1	0
Q13112	CHAF1B	1	1	0
O14929	NA	1	1	0
P68431	HIST1H3F; HIST1H3E; HIST1H3B; HIST1H3J; HIST1H3G; HIST1H3D; HIST1H3H; HIST1H3I; HIST1H3C; HIST1H3A	1	1	0
P62805	HIST1H4H; HIST1H4B; HIST1H4E; HIST4H4; HIST1H4I; HIST1H4F; HIST1H4A; HIST1H4D; HIST1H4K; HIST2H4A; HIST1H4C; HIST2H4B; HIST1H4L; HIST1H4J	1	1	0
Q8TEX9	NA	1	1	0
P49321	NASP	1	1	0
P84243	H3F3A; H3F3B	1	1	0
P54198	HIRA	1	1	0
Q6W2J9	BCOR	1	1	0
Q8NHM5	KDM2B	1	1	0
Q9BSM1	PCGF1	1	1	0
Q8N488	RYBP	1	1	0
Q9H5Z1	DHX35	1	1	0
Q14331	FRG1	1	1	0
Q9BRR8	GPATCH1	1	1	0
P09651	HNRNPA1	1	1	0
P22626	HNRNPA2B1	1	1	0
P51991	HNRNPA3	1	1	0
P07910	HNRNPC	1	1	0
P52597	HNRNPF	1	1	0
P31943	HNRNPH1	1	1	0
P61978	HNRNPK	1	1	0
P52272	HNRNPM	1	1	0
O43390	HNRNPR	1	1	0
Q00839	HNRNPU	1	1	0
Q9BRX9	WDR83	1	1	0
Q9H307	PNN	1	1	0
Q9UKM9	RALY	1	1	0
P38159	RBMX	1	1	0
Q6UX04	CWC27	1	1	0
O60506	SYNCRIP	1	1	0
Q92616	GCN1	1	1	0
Q7L1Q6	BZW1	1	1	0
Q14204	DYNC1H1	1	1	0
Q12905	ILF2	1	1	0
O15297	PPM1D	1	1	0
P62136	PPP1CA	1	1	0
P78527	PRKDC	1	1	0
Q9UPN6	SCAF8	1	1	0
A8K8P3	SFI1	1	1	0
P23246	SFPQ	1	1	0
P15884	TCF4	1	1	0
Q9HD42	CHMP1A	1	1	0
Q7LBR1	CHMP1B	1	1	0
O43633	CHMP2A	1	1	0
Q9UQN3	CHMP2B	1	1	0
Q9BY43	CHMP4A	1	1	0
Q9H444	CHMP4B	1	1	0
Q96CF2	CHMP4C	1	1	0
Q9NZZ3	CHMP5	1	1	0
Q96FZ7	CHMP6	1	1	0
Q7L5Y6	NA	1	1	0
P62877	RBX1	1	1	0
P62158	CALM1; CALM3; CALM2	1	1	0
P27797	CALR	1	1	0
Q9Y262	EIF3L	1	1	0
P16104	H2AFX	1	1	0
Q8N257	HIST3H2BB	1	1	0
P06748	NPM1	1	1	0
P05455	SSB	1	1	0
P16989	NA	1	1	0
P33778	NA	1	1	0
Q99879	HIST1H2BM	1	1	0
Q9UBL3	ASH2L	1	1	0
P51610	HCFC1	1	1	0
O00255	NA	1	1	0
Q03164	KMT2A	1	1	0
Q15291	RBBP5	1	1	0
P05546	NA	1	1	0
O60341	KDM1A	1	1	0
Q9P2I0	CPSF2	1	1	0
P62826	RAN	1	1	0
O00422	SAP18	1	1	0
O75446	SAP30	1	1	0
P51531	SMARCA2	1	1	0
Q12824	SMARCB1	1	1	0
Q92922	SMARCC1	1	1	0
Q8TAQ2	SMARCC2	1	1	0
Q92797	SYMPK	1	1	0
P21675	TAF1	1	1	0
Q16514	TAF12	1	1	0
P49848	TAF6	1	1	0
Q16594	TAF9	1	1	0
P20226	TBP	1	1	0
P26599	PTBP1	1	1	0
Q59EJ3	NA	1	1	0
Q04637	NA	1	1	0
Q14103	HNRNPD	1	1	0
Q92499	DDX1	1	1	0
Q8WYQ5	DGCR8	1	1	0
Q01844	EWSR1	1	1	0
P35637	FUS	1	1	0
Q9BUJ2	HNRNPUL1	1	1	0
O14979	HNRNPDL	1	1	0
Q12906	ILF3	1	1	0
Q9NRR4	DROSHA	1	1	0
Q96SB4	SRPK1	1	1	0
Q92804	TAF15	1	1	0
Q9UG63	NA	1	1	0
P68104	NA	1	1	0
P26641	EEF1G	1	1	0
P43243	MATR3	1	1	0
P43246	MSH2	1	1	0
P17858	NA	1	1	0
P07437	TUBB	1	1	0
O14686	NA	1	1	0
Q8NEZ4	NA	1	1	0
Q14686	NA	1	1	0
P68366	NA	1	1	0
O15379	HDAC3	1	1	0
O75376	NCOR1	1	1	0
P51532	SMARCA4	1	1	0
Q6ZRS2	NA	1	1	0
Q96J02	ITCH	1	1	0
P25686	NA	1	1	0
Q7L576	CYFIP1	1	1	0
Q05193	DNM1	1	1	0
Q9Y2A7	NCKAP1	1	1	0
P35080	PFN2	1	1	0
O75116	ROCK2	1	1	0
P17600	SYN1	1	1	0
P34932	HSPA4	1	1	0
O15294	OGT	1	1	0
O15047	SETD1A	1	1	0
O75182	SIN3B	1	1	0
P08047	SP1	1	1	0
Q9H7L9	SUDS3	1	1	0
P61964	WDR5	1	1	0
P07900	HSP90AA1	1	1	0
Q9NYJ8	TAB2	1	1	0
Q8IWX8	CHERP	1	1	0
Q9P0W2	HMG20B	1	1	0
P10809	HSPD1	1	1	0
Q7RTV0	PHF5A	1	1	0
Q12931	TRAP1	1	1	0
Q969L4	LSM10	1	1	0
P83369	LSM11	1	1	0
Q15750	TAB1	1	1	0
P38398	BRCA1	1	1	0
P63261	ACTG1	1	1	0
Q00610	CLTC	1	1	0
P07737	PFN1	1	1	0
Q9BVA1	TUBB2B	1	1	0
P25054	APC	1	1	0
P46940	IQGAP1	1	1	0
Q71U36	TUBA1A	1	1	0
P68363	TUBA1B	1	1	0
Q9BQE3	TUBA1C	1	1	0
P23258	NA	1	1	0
P62736	ACTA2	1	1	0
P63267	NA	1	1	0
Q8TDN6	BRIX1	1	1	0
Q9NR30	DDX21	1	1	0
Q99848	EBNA1BP2	1	1	0
P13639	EEF2	1	1	0
Q9BVP2	GNL3	1	1	0
Q92522	H1FX	1	1	0
P16402	HIST1H1D	1	1	0
Q9NZI8	IGF2BP1	1	1	0
Q9Y383	LUC7L2	1	1	0
Q9NX58	LYAR	1	1	0
Q9BQG0	MYBBP1A	1	1	0
P55209	NAP1L1	1	1	0
P19338	NCL	1	1	0
Q9Y2X3	NOP58	1	1	0
O00567	NOP56	1	1	0
Q14978	NOLC1	1	1	0
Q13610	NA	1	1	0
Q9NW13	RBM28	1	1	0
O76021	RSL1D1	1	1	0
Q6P3W7	NA	1	1	0
P05141	SLC25A5	1	1	0
P37108	SRP14	1	1	0
Q13428	TCOF1	1	1	0
P11387	TOP1	1	1	0
Q9H4B7	TUBB1	1	1	0
P49411	TUFM	1	1	0
Q14919	NA	1	1	0
Q6UW60	NA	1	1	0
Q96GM5	SMARCD1	1	1	0
Q92925	SMARCD2	1	1	0
Q92793	CREBBP	1	1	0
Q92831	KAT2B	1	1	0
P51946	CCNH	1	1	0
Q14469	HES1	1	1	0
Q15233	NONO	1	1	0
P09874	PARP1	1	1	0
P12931	SRC	1	1	0
Q16543	NA	1	1	0
Q13163	NA	1	1	0
Q99759	NA	1	1	0
Q7KZI7	MARK2	1	1	0
Q9NUG6	NA	1	1	0
Q9UHV9	PFDN2	1	1	0
Q6Q0C0	TRAF7	1	1	0
P31946	YWHAB	1	1	0
P62258	YWHAE	1	1	0
P61981	YWHAG	1	1	0
Q04917	YWHAH	1	1	0
P27348	YWHAQ	1	1	0
O15111	CHUK	1	1	0
O14920	IKBKB	1	1	0
Q9Y6K9	IKBKG	1	1	0
Q99558	NA	1	1	0
Q13451	NA	1	1	0
O43318	MAP3K7	1	1	0
Q9UHA3	NA	1	1	0
Q9UPY3	NA	1	1	0
P56537	EIF6	1	1	0
Q8IXM2	NA	1	1	0
Q6PI98	NA	1	1	0
Q9HCK8	NA	1	1	0
O75461	E2F6	1	1	0
Q9Y4W2	LAS1L	1	1	0
Q96EZ8	NA	1	1	0
O43451	NA	1	1	0
Q9H7Z6	KAT8	1	1	0
Q8IZL8	PELP1	1	1	0
Q9BVI0	NA	1	1	0
Q9H4L4	SENP3	1	1	0
O00268	TAF4	1	1	0
Q15545	TAF7	1	1	0
Q9NXF1	TEX10	1	1	0
Q9H503	NA	1	1	0
Q14839	CHD4	1	1	0
Q9C005	DPY30	1	1	0
P50402	EMD	1	1	0
P20700	LMNB1	1	1	0
Q13287	NA	1	1	0
P28749	NA	1	1	0
Q08999	NA	1	1	0
Q13813	SPTAN1	1	1	0
Q9BZK7	TBL1XR1	1	1	0
Q9BQ87	TBL1Y	1	1	0
Q9UIF9	BAZ2A	1	1	0
O95817	BAG3	1	1	0
Q9UJY1	HSPB8	1	1	0
Q9NTJ3	SMC4	1	1	0
Q96EE3	SEH1L	1	1	0
P28370	SMARCA1	1	1	0
P25490	NA	1	1	0
P30101	PDIA3	1	1	0
Q8N3U4	STAG2	1	1	0
Q9Y2W1	THRAP3	1	1	0
Q8TD47	NA	1	1	0
O43670	NA	1	1	0
Q15696	ZRSR2	1	1	0
O95619	YEATS4	1	1	0
Q8WXI9	GATAD2B	1	1	0
O95425	SVIL	1	1	0
Q9BQA1	WDR77	1	1	0
Q96JP5	NA	1	1	0
Q9Y3F4	STRAP	1	1	0
P63208	SKP1	1	1	0
Q6NZY4	ZCCHC8	1	1	0
P11388	TOP2A	1	1	0
Q9Y3E7	CHMP3	1	1	0
Q8NHY2	COP1	1	1	0
Q96EY7	PTCD3	1	1	0
Q9UKA9	NA	1	1	0
Q13148	TARDBP	1	1	0
O95071	UBR5	1	1	0
Q13263	TRIM28	1	1	0
P63162	SNRPN	1	1	0
Q14157	UBAP2L	1	1	0
P25788	NA	1	1	0
Q92777	SYN2	1	1	0
Q9BWH6	RPAP1	1	1	0
P55072	NA	1	1	0
Q9NRH3	NA	1	1	0
Q6STE5	SMARCD3	1	1	0
Q71DI3	HIST2H3D; HIST2H3A; HIST2H3C	1	1	0
P63104	YWHAZ	1	1	0
Q8N5C8	NA	1	1	0
Q9UNE7	STUB1	1	1	0
