Interactor1	Interactor2	Complex.name	Complex.id	geneName1	geneName2	GATA4	TBX5	NKX25
Q13435	Q15393	18S U11/U12 snRNP	430	SF3B2	SF3B3	1	0	1
Q13435	Q15427	18S U11/U12 snRNP	430	SF3B2	SF3B4	1	0	1
Q13435	Q9BWJ5	18S U11/U12 snRNP	430	SF3B2	SF3B5	1	0	1
Q13435	P14678	18S U11/U12 snRNP	430	SF3B2	SNRPB	1	0	1
Q13435	P62314	18S U11/U12 snRNP	430	SF3B2	SNRPD1	1	0	1
Q13435	P62316	18S U11/U12 snRNP	430	SF3B2	SNRPD2	1	0	1
Q13435	P62318	18S U11/U12 snRNP	430	SF3B2	SNRPD3	1	0	1
Q13435	P62304	18S U11/U12 snRNP	430	SF3B2	SNRPE	1	0	1
Q13435	P62306	18S U11/U12 snRNP	430	SF3B2	SNRPF	1	0	1
Q13435	P62308	18S U11/U12 snRNP	430	SF3B2	SNRPG	1	0	1
Q13435	Q16560	18S U11/U12 snRNP	430	SF3B2	SNRNP35	1	0	1
Q13435	P67809	18S U11/U12 snRNP	430	SF3B2	YBX1	1	0	1
Q13435	Q8TBF4	18S U11/U12 snRNP	430	SF3B2	ZCRB1	1	0	1
Q13435	Q9UDW3	18S U11/U12 snRNP	430	SF3B2	ZMAT5	1	0	1
Q13435	Q15696	18S U11/U12 snRNP	430	SF3B2	ZRSR2	1	0	1
Q15393	Q15427	18S U11/U12 snRNP	430	SF3B3	SF3B4	1	0	1
Q15393	Q9BWJ5	18S U11/U12 snRNP	430	SF3B3	SF3B5	1	0	1
Q15393	P14678	18S U11/U12 snRNP	430	SF3B3	SNRPB	1	0	1
Q15393	P62314	18S U11/U12 snRNP	430	SF3B3	SNRPD1	1	0	1
Q15393	P62316	18S U11/U12 snRNP	430	SF3B3	SNRPD2	1	0	1
Q15393	P62318	18S U11/U12 snRNP	430	SF3B3	SNRPD3	1	0	1
Q15393	P62304	18S U11/U12 snRNP	430	SF3B3	SNRPE	1	0	1
Q15393	P62306	18S U11/U12 snRNP	430	SF3B3	SNRPF	1	0	1
Q15393	P62308	18S U11/U12 snRNP	430	SF3B3	SNRPG	1	0	1
Q15393	Q16560	18S U11/U12 snRNP	430	SF3B3	SNRNP35	1	0	1
Q15393	P67809	18S U11/U12 snRNP	430	SF3B3	YBX1	1	0	1
Q15393	Q8TBF4	18S U11/U12 snRNP	430	SF3B3	ZCRB1	1	0	1
Q15393	Q9UDW3	18S U11/U12 snRNP	430	SF3B3	ZMAT5	1	0	1
Q15393	Q15696	18S U11/U12 snRNP	430	SF3B3	ZRSR2	1	0	1
Q15427	Q9BWJ5	18S U11/U12 snRNP	430	SF3B4	SF3B5	1	0	1
Q15427	P14678	18S U11/U12 snRNP	430	SF3B4	SNRPB	1	0	1
Q15427	P62314	18S U11/U12 snRNP	430	SF3B4	SNRPD1	1	0	1
Q15427	P62316	18S U11/U12 snRNP	430	SF3B4	SNRPD2	1	0	1
Q15427	P62318	18S U11/U12 snRNP	430	SF3B4	SNRPD3	1	0	1
Q15427	P62304	18S U11/U12 snRNP	430	SF3B4	SNRPE	1	0	1
Q15427	P62306	18S U11/U12 snRNP	430	SF3B4	SNRPF	1	0	1
Q15427	P62308	18S U11/U12 snRNP	430	SF3B4	SNRPG	1	0	1
Q15427	Q16560	18S U11/U12 snRNP	430	SF3B4	SNRNP35	1	0	1
Q15427	P67809	18S U11/U12 snRNP	430	SF3B4	YBX1	1	0	1
Q15427	Q8TBF4	18S U11/U12 snRNP	430	SF3B4	ZCRB1	1	0	1
Q15427	Q9UDW3	18S U11/U12 snRNP	430	SF3B4	ZMAT5	1	0	1
Q15427	Q15696	18S U11/U12 snRNP	430	SF3B4	ZRSR2	1	0	1
Q9BWJ5	P14678	18S U11/U12 snRNP	430	SF3B5	SNRPB	1	0	1
Q9BWJ5	P62314	18S U11/U12 snRNP	430	SF3B5	SNRPD1	1	0	1
Q9BWJ5	P62316	18S U11/U12 snRNP	430	SF3B5	SNRPD2	1	0	1
Q9BWJ5	P62318	18S U11/U12 snRNP	430	SF3B5	SNRPD3	1	0	1
Q9BWJ5	P62304	18S U11/U12 snRNP	430	SF3B5	SNRPE	1	0	1
Q9BWJ5	P62306	18S U11/U12 snRNP	430	SF3B5	SNRPF	1	0	1
Q9BWJ5	P62308	18S U11/U12 snRNP	430	SF3B5	SNRPG	1	0	1
Q9BWJ5	Q16560	18S U11/U12 snRNP	430	SF3B5	SNRNP35	1	0	1
Q9BWJ5	P67809	18S U11/U12 snRNP	430	SF3B5	YBX1	1	0	1
Q9BWJ5	Q8TBF4	18S U11/U12 snRNP	430	SF3B5	ZCRB1	1	0	1
