Interactor1	Interactor2	geneName1	geneName2	Complex.name	Complex.id
P06576	P24539	ATP5F1B	ATP5PB	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P06576	P05496	ATP5F1B	ATP5MC1	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P06576	O75947	ATP5F1B	ATP5PD	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P06576	P56385	ATP5F1B	ATP5ME	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P06576	P18859	ATP5F1B	ATP5PF	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P06576	P56134	ATP5F1B	ATP5MF	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P06576	O75964	ATP5F1B	ATP5MG	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P06576	P48047	ATP5F1B	ATP5PO	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P06576	Q6IAQ7	ATP5F1B	ATP5IF1	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P06576	P00846	ATP5F1B	MT-ATP6	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P06576	P03928	ATP5F1B	MT-ATP8	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P36542	P30049	ATP5F1C	ATP5F1D	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P36542	P56381	ATP5F1C	ATP5F1E	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P36542	P24539	ATP5F1C	ATP5PB	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P36542	P05496	ATP5F1C	ATP5MC1	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P36542	O75947	ATP5F1C	ATP5PD	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P36542	P56385	ATP5F1C	ATP5ME	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
