Gene,BH
BIN2,0.0441679957469431
BIRC3,0.0787488151658768
BIRC7,0.00462940824865511
BIRC8,0.448734567901235
BIVM-ERCC5,ERCC5
1,
BLID,0.0787488151658768
BLM,0.00462940824865511
BLMH,0.0787488151658768
BLOC1S2,0.639655797101449
BLOC1S4,0.384315646258503
BLVRA,0.260194174757282
BMP10,0.106603934987169
BMP2K,1
BMP3,0.998481495612362
BMP5,0.540520481927711
BMPR1B,0.00462940824865511
BNIP2,0.27938856618771
BNIP3,0.27938856618771
BNIPL,0.21978835978836
BOC,0.00462940824865511
BOK,0.199917497421794
BORA,0.367001656543346
BPHL,0.987152165580682
BPI,1
BPIFA1,0.432933819697759
BPIFA3,1
BPIFB1,1
BPIFB4,1
BPIFB6,1
BPIFC,1
BPNT1,1
BRAT1,0.00462940824865511
BRCA1,0.00462940824865511
BRCA2,0.00462940824865511
BRD8,0.316078431372549
BRD9,1
BRDT,1
BRF1,0.00462940824865511
BRF2,0.00462940824865511
BRI3,1
BRIP1,0.00462940824865511
BRIX1,0.240656581911812
BRSK1,1
BRWD1,0.690063387978142
BSCL2,0.639655797101449
BSND,1
BSPRY,0.00462940824865511
BST1,1
BST2,0.0787488151658768
BTBD16,1
BTN2A1,0.432933819697759
BTN2A2,0.240656581911812
BTN3A3,0.260194174757282
BTNL3,0.712674244048896
BTNL8,1
BTNL9,1
BUB1,0.00462940824865511
BUB1B,0.00462940824865511
BUD13,0.00462940824865511
BYSL,0.00462940824865511
BZRAP1,1
C10orf131,1
C10orf54,1
C10orf71,0.367001656543346
C10orf90,0.651534842034506
C10orf95,1
C11orf40,1
C11orf44,1
C11orf49,0.177965012495537
C11orf53,0.416605964634468
C11orf63,1
C11orf80,1
C11orf86,1
C11orf91,1
C11orf96,1
C12orf10,0.240656581911812
C12orf4,1
C12orf40,1
C12orf43,1
C12orf49,0.177965012495537
C12orf50,0.627234042553192
C12orf60,1
C14orf159,1
C14orf166,1
C14orf39,0.701476510067114
C14orf79,1
C15orf32,1
C15orf41,1
C15orf48,0.106603934987169
C15orf56,1
C16orf13,1
C16orf46,1
C16orf58,0.823073190456935
C16orf59,1
C16orf78,1
C16orf91,1
C16orf96,0.750985915492958
C17orf64,1
C17orf67,1
C17orf78,1
C17orf80,0.106603934987169
C17orf96,1
C18orf21,0.177965012495537
C18orf32,RPL17-C18orf32
1,
C18orf8,0.0441679957469431
C19orf12,1
C19orf24,1
C19orf35,1
C19orf38,0.156224144415194
C19orf44,0.00462940824865511
C19orf45,1
C19orf47,1
C19orf52,1
C19orf54,0.240656581911812
C19orf57,0.00462940824865511
C1GALT1,0.106603934987169
C1GALT1C1L,1
C1orf101,1
C1orf105,1
C1orf123,1
C1orf127,1
C1orf141,1
C1orf158,1
C1orf162,0.664344735673034
C1orf185,1
C1orf186,1
C1orf189,1
C1orf204,1
C1orf228,1
C1orf229,1
C1orf35,0.998481495612362
C1orf43,0.850307043949428
C1orf56,1
C1orf68,1
C1orf87,1
C1orf94,0.298580413297394
C1QC,1
C1QTNF6,0.952530120481928
C20orf194,0.862824046335131
C20orf195,1
C20orf202,1
C20orf85,1
C20orf96,1
C21orf2,0.21978835978836
C21orf62,1
C22orf29,1
C2CD3,0.00462940824865511
C2CD4B,1
C2CD5,1
C2orf16,1
C2orf42,0.00462940824865511
C2orf47,1
C2orf48,0.862824046335131
C2orf61,1
C2orf66,1
C2orf68,0.132821742605915
C2orf70,1
C2orf71,0.540520481927711
C2orf73,0.260194174757282
C2orf74,1
C2orf81,1
C2orf82,0.0787488151658768
C3AR1,0.00462940824865511
C3orf17,1
C3orf20,1
C3orf52,0.177965012495537
C3orf56,1
C3orf62,0.525566909975669
C3orf67,1
C3orf70,1
C4orf17,1
C4orf19,1
C4orf22,1
C4orf33,1
C5,0.0441679957469431
C5orf22,0.298580413297394
C5orf28,1
C5orf42,1
C5orf45,1
C5orf47,1
C5orf51,1
C5orf52,1
C5orf58,1
C5orf63,1
C6,0.677531408419661
C6orf118,1
C6orf132,1
C6orf15,1
C6orf222,0.46389847715736
C6orf223,1
C6orf25,1
C6orf58,0.555321079016472
C7,0.00462940824865511
C7orf33,1
C7orf34,1
C7orf57,1
C7orf61,1
C7orf69,0.725357751277683
C7orf71,1
C8A,0.00462940824865511
C8B,0.00462940824865511
C8G,0.00462940824865511
C8orf34,0.316078431372549
C9,0.0441679957469431
C9orf131,1
C9orf135,1
C9orf153,1
C9orf24,0.367001656543346
C9orf3,0.00462940824865511
C9orf50,1
C9orf57,1
C9orf64,1
C9orf84,1
C9orf85,1
CA12,0.106603934987169
CA2,0.786839612929792
CAAP1,1
CAB39,0.00462940824865511
CAB39L,0.00462940824865511
CABIN1,1
CABP4,1
CABP5,0.555321079016472
CABYR,1
CACFD1,1
CACHD1,0.316078431372549
CACNA1A,0.479628514056225
CACNA1C,0.627234042553192
CACNA1G,1
CACNA1I,1
CACNA1S,1
CACNA2D4,1
CACNB1,0.416605964634468
CACNB4,1
CACNG5,0.00462940824865511
CAD,0.0787488151658768
CAGE1,1
CALCOCO1,0.00462940824865511
CALCOCO2,0.00462940824865511
CALHM1,1
CALM2,1
CALML4,1
CALML6,1
CALU,0.0441679957469431
CAMK1,0.177965012495537
CAMK1D,0.540520481927711
CAMK2N1,1
CAMKK2,0.21978835978836
CAMKMT,0.21978835978836
CAMLG,0.725357751277683
CAMSAP1,0.00462940824865511
CANT1,0.106603934987169
CAPG,1
CAPN10,0.46389847715736
CAPN11,0.598114259173247
CAPN12,1
CAPN13,0.384315646258503
CAPN14,1
CAPN3,0.00462940824865511
CAPN7,0.0787488151658768
CAPN8,1
CAPN9,1
CAPNS1,0.511324470704087
CAPRIN2,0.00462940824865511
CAPS2,1
CAPSL,1
CAPZA3,0.132821742605915
CARD10,0.367001656543346
CARD14,0.540520481927711
CARD6,0.712674244048896
CARD8,0.400064205457464
CARD9,0.00462940824865511
CARKD,1
CARNS1,1
CARS2,1
CASC1,1
CASC4,0.613136531365314
CASC5,1
CASD1,1
CASKIN1,0.21978835978836
CASKIN2,1
CASP5,0.106603934987169
CASP7,0.00462940824865511
CASP8,0.00462940824865511
CASP8AP2,0.00462940824865511
CASP9,0.00462940824865511
CASQ1,0.177965012495537
CASQ2,0.316078431372549
CAST,0.00462940824865511
CASZ1,0.975718136311128
CAT,0.00462940824865511
CATIP,0.0787488151658768
CATSPER1,0.00462940824865511
CATSPERB,0.975718136311128
CATSPERD,0.106603934987169
CATSPERG,1
CBL,0.00462940824865511
CBLB,1
CBLC,0.00462940824865511
CBR3,0.952530120481928
CBS,0.156224144415194
CBX5,0.00462940824865511
CBY3,1
CC2D2A,1
CCAR1,0.156224144415194
CCBL1,1
CCBL2,1
CCDC102B,0.00462940824865511
CCDC106,0.260194174757282
CCDC110,1
CCDC113,0.0441679957469431
CCDC114,0.0441679957469431
CCDC12,0.132821742605915
CCDC120,0.00462940824865511
CCDC122,0.27938856618771
CCDC125,0.0441679957469431
CCDC126,1
CCDC129,1
CCDC13,0.00462940824865511
CCDC130,0.177965012495537
CCDC134,1
CCDC136,0.0787488151658768
CCDC14,1
CCDC141,0.00462940824865511
CCDC146,0.00462940824865511
CCDC148,0.177965012495537
CCDC149,1
CCDC15,0.639655797101449
CCDC150,0.00462940824865511
CCDC151,0.00462940824865511
CCDC154,1
CCDC155,0.00462940824865511
CCDC158,0.56917552563194
CCDC166,1
CCDC168,1
CCDC169,1
CCDC169,CCDC169-SOHLH2
1,
CCDC17,0.367001656543346
CCDC170,1
CCDC171,1
CCDC172,0.00462940824865511
CCDC174,0.132821742605915
CCDC175,1
CCDC178,1
CCDC18,1
CCDC180,1
CCDC181,1
CCDC183,0.156224144415194
CCDC184,1
CCDC185,0.0441679957469431
CCDC189,1
CCDC190,1
CCDC191,0.738645215918713
CCDC25,0.88890826233406
CCDC27,1
CCDC28A,0.21978835978836
CCDC3,1
CCDC30,1
CCDC33,0.00462940824865511
CCDC39,1
CCDC40,0.132821742605915
CCDC42,1
CCDC50,1
CCDC51,1
CCDC57,0.00462940824865511
CCDC59,0.316078431372549
CCDC62,0.156224144415194
CCDC63,1
CCDC64B,1
CCDC65,1
CCDC66,1
CCDC67,1
CCDC68,0.00462940824865511
CCDC7,1
CCDC71,1
CCDC73,1
CCDC77,0.260194174757282
CCDC78,1
CCDC79,1
CCDC80,0.199917497421794
CCDC81,1
CCDC82,0.333942004019523
CCDC83,1
CCDC84,1
CCDC85A,1
CCDC86,0.00462940824865511
CCDC87,0.00462940824865511
CCDC88C,0.00462940824865511
CCDC9,0.106603934987169
CCDC90B,0.525566909975669
CCDC91,0.199917497421794
CCDC93,0.448734567901235
CCDC94,0.00462940824865511
CCDC96,0.106603934987169
CCER1,1
CCIN,0.400064205457464
CCKBR,0.400064205457464
CCL14,0.479628514056225
CCL22,0.00462940824865511
CCL26,0.199917497421794
CCL27,0.199917497421794
CCL5,0.00462940824865511
CCNA1,0.00462940824865511
CCNB2,0.00462940824865511
CCNDBP1,0.00462940824865511
CCNG1,0.00462940824865511
CCNH,0.00462940824865511
CCNI2,0.333942004019523
CCNO,1
CCR2,0.240656581911812
CCR3,0.351339159853397
CCR5,0.316078431372549
CCR8,0.384315646258503
CCRL2,1
CD101,0.799991804958
CD109,0.333942004019523
CD163,1
CD163L1,1
CD177,0.639655797101449
CD1E,0.177965012495537
CD200R1L,1
CD207,1
CD209,0.712674244048896
CD22,0.106603934987169
CD226,1
CD2AP,0.00462940824865511
CD2BP2,0.00462940824865511
CD300A,0.00462940824865511
CD300C,0.0441679957469431
CD300LD,1
CD302,LY75-CD302
1,
CD36,0.0441679957469431
CD3E,1
CD3EAP,0.00462940824865511
CD40,0.627234042553192
CD44,0.298580413297394
CD5,0.432933819697759
CD52,0.651534842034506
CD5L,1
CD63,0.00462940824865511
CD68,0.00462940824865511
CD74,0.555321079016472
CD81,1
CD82,0.00462940824865511
CD84,0.333942004019523
CD8B,1
CD96,0.00462940824865511
CDADC1,1
CDAN1,1
CDC14A,0.0787488151658768
CDC14B,0.00462940824865511
CDC20,0.00462940824865511
CDC20B,0.21978835978836
CDC25A,0.0441679957469431
