"SUID","BH","name","selected","shared name","uidA","uidB"
"922","0.0854030501089325","DPYSL5","false","DPYSL5","Q9BPU6","Q9BPU6"
"923","0.370348837209302","ZNF510","false","ZNF510","Q9Y2H8","Q9Y2H8"
"924","0.0464454976303318","ATP4B","false","ATP4B","","P51164"
"925","0.890909090909091","LRP1","false","LRP1","Q07954","Q07954"
"926","0.871583514099783","SLC25A23","false","SLC25A23","Q9BV35",""
"927","0.0464454976303318","PAFAH1B2","false","PAFAH1B2","P68402","P68402"
"928","0.00450255102040816","RACGAP1","false","RACGAP1","Q9H0H5","Q9H0H5"
"929","0.512418300653595","AMBRA1","false","AMBRA1","Q9C0C7","Q9C0C7"
"930","0.347415066469719","NGFR","false","NGFR","P08138","P08138"
"931","0.729302325581395","NAGA","false","NAGA","A0A024R1Q5","A0A024R1Q5"
"932","0.00450255102040816","ACTB","false","ACTB","P60709","P60709"
"933","1.0","SFXN5","false","SFXN5","Q8TD22",""
"934","1.0","TRABD","false","TRABD","Q9H4I3",""
"935","0.472922252010724","RAVER1","false","RAVER1","E9PAU2","E9PAU2"
"936","0.118787878787879","HIVEP2","false","HIVEP2","P31629",""
"937","0.979001019367992","HEPACAM2","false","HEPACAM2","A8MVW5",""
"938","0.00450255102040816","TERF2","false","TERF2","Q15554","Q15554"
"939","0.282692307692308","KRT15","false","KRT15","P19012","P19012"
"940","0.118787878787879","KRT1","false","KRT1","P04264","P04264"
"941","0.0854030501089325","PLXNA3","false","PLXNA3","P51805","P51805"
"942","0.303875968992248","PLXNA2","false","PLXNA2","O75051","O75051"
"943","1.0","ELMO2","false","ELMO2","Q96JJ3","Q96JJ3"
"944","0.00450255102040816","BAIAP2","false","BAIAP2","Q9UQB8","Q9UQB8"
"945","0.00450255102040816","NFKBIB","false","NFKBIB","Q15653","Q15653"
"946","0.00450255102040816","NFKB2","false","NFKB2","Q00653","Q00653"
"947","0.00450255102040816","LRPPRC","false","LRPPRC","P42704","P42704"
"948","0.00450255102040816","UBC","false","UBC","P0CG48","P0CG48"
"949","0.00450255102040816","RAC1","false","RAC1","P63000","P63000"
"950","0.0464454976303318","PIAS1","false","PIAS1","O75925","O75925"
"951","0.325188536953243","GTF2IRD1","false","GTF2IRD1","Q9UHL9","Q9UHL9"
"952","0.871583514099783","ERCC5","false","ERCC5","P28715","P28715"
"953","0.793700787401575","XPC","false","XPC","Q01831",""
"954","1.0","TUFM","false","TUFM","","P49411"
"955","0.00450255102040816","EPS8L1","false","EPS8L1","Q8TE68",""
"956","0.23573883161512","PIK3C2G","false","PIK3C2G","O75747","O75747"
"957","0.746020761245675","BACH2","false","BACH2","","Q9BYV9"
"958","0.151059730250482","PRPF8","false","PRPF8","Q6P2Q9","Q6P2Q9"
"959","1.0","ZBTB7B","false","ZBTB7B","O15156",""
"960","0.0464454976303318","FAM110B","false","FAM110B","Q8TC76",""
"961","0.182835820895522","PTPN11","false","PTPN11","Q06124","Q06124"
"962","0.00450255102040816","FGFR2","false","FGFR2","P21802","P21802"
"963","0.00450255102040816","ERBB3","false","ERBB3","P21860","P21860"
"964","0.00450255102040816","XIAP","false","XIAP","P98170","P98170"
"965","0.00450255102040816","PTEN","false","PTEN","F6KD01","F6KD01"
"966","0.182835820895522","BAG6","false","BAG6","P46379","P46379"
"967","0.00450255102040816","ZNF175","false","ZNF175","Q9Y473","Q9Y473"
"968","0.151059730250482","PPL","false","PPL","","O60437"
"969","0.569191919191919","CAMSAP1","false","CAMSAP1","Q5T5Y3","Q5T5Y3"
"970","0.492592592592593","RBM27","false","RBM27","","Q9P2N5"
"971","0.00450255102040816","ZFC3H1","false","ZFC3H1","O60293","O60293"
"972","0.118787878787879","SH3BP4","false","SH3BP4","Q9P0V3","Q9P0V3"
"973","0.00450255102040816","HK2","false","HK2","P52789","P52789"
"974","0.258745874587459","GAN","false","GAN","A0A0S2Z4W2","A0A0S2Z4W2"
"975","0.967901234567901","ARHGEF7","false","ARHGEF7","Q14155","Q14155"
"976","0.00450255102040816","ANK3","false","ANK3","Q12955","Q12955"
"977","0.0464454976303318","SCN5A","false","SCN5A","E9PG18","Q14524"
"978","0.209625668449198","FAN1","false","FAN1","Q9Y2M0","Q9Y2M0"
"979","0.589473684210526","MLH3","false","MLH3","Q9UHC1",""
"980","0.325188536953243","MDC1","false","MDC1","Q14676","Q14676"
"981","0.666019417475728","ESAM","false","ESAM","Q96AP7",""
"982","0.00450255102040816","PLEKHA5","false","PLEKHA5","Q9HAU0",""
"983","0.00450255102040816","RHOD","false","RHOD","O00212","O00212"
"984","0.00450255102040816","RASGRF2","false","RASGRF2","O14827","O14827"
"985","0.00450255102040816","TAB1","false","TAB1","Q15750","Q15750"
"986","0.0854030501089325","ZNF576","false","ZNF576","","A0A024R0T0"
"987","0.430769230769231","POGZ","false","POGZ","Q7Z3K3","Q7Z3K3"
"988","0.777777777777778","PSME1","false","PSME1","A0A0K0K1L8","A0A0K0K1L8"
"989","0.00450255102040816","XRCC5","false","XRCC5","P13010","P13010"
"990","0.118787878787879","SF3B3","false","SF3B3","Q15393","Q15393"
"991","0.954611398963731","GAD1","false","GAD1","A0A0S2Z3V5","A0A0S2Z3V5"
"992","0.387023977433004","IL3RA","false","IL3RA","P26951","P26951"
"993","0.387023977433004","PRKACB","false","PRKACB","B2RB89","B2RB89"
"994","1.0","TSEN2","false","TSEN2","Q8NCE0",""
"995","1.0","TRIM41","false","TRIM41","Q8WV44","Q8WV44"
"996","0.00450255102040816","HERC2","false","HERC2","O95714","O95714"
"997","0.0464454976303318","COPG1","false","COPG1","Q9Y678","Q9Y678"
"998","0.765097588978186","ZNF638","false","ZNF638","Q14966","Q14966"
"999","0.00450255102040816","MAST3","false","MAST3","O60307","O60307"
"1000","0.00450255102040816","SIPA1L1","false","SIPA1L1","","O43166"
"1001","0.00450255102040816","PTPRS","false","PTPRS","Q13332","Q13332"
"1002","0.00450255102040816","KAT5","false","KAT5","Q92993","Q92993"
"1003","0.0464454976303318","DNMT3A","false","DNMT3A","Q9Y6K1","Q9Y6K1"
"1004","0.00450255102040816","INPP5E","false","INPP5E","Q9NRR6","Q9NRR6"
"1005","0.00450255102040816","CBY1","false","CBY1","A0A024R1L9","A0A024R1L9"
"1006","0.00450255102040816","WAS","false","WAS","A0A024QYX8","A0A024QYX8"
"1007","1.0","CTDSPL2","false","CTDSPL2","","A0A024R5Q8"
"1008","0.00450255102040816","RANBP2","false","RANBP2","P49792","P49792"
"1009","0.00450255102040816","SPG7","false","SPG7","","Q9UQ90"
"1010","0.00450255102040816","LZTS1","false","LZTS1","Q9Y250","Q9Y250"
"1011","0.848390677025527","SMARCC1","false","SMARCC1","Q92922","Q92922"
"1012","0.945073375262054","C1R","false","C1R","P00736","P00736"
"1013","0.347415066469719","ZNF254","false","ZNF254","","F5H2M4"
"1014","0.0464454976303318","ZNF268","false","ZNF268","","Q14587"
"1015","0.00450255102040816","CHD4","false","CHD4","Q14839","Q14839"
"1016","0.118787878787879","RORA","false","RORA","","A0A0C4DG53"
"1017","0.325188536953243","PRDM6","false","PRDM6","Q9NQX0","Q9NQX0"
"1018","0.00450255102040816","ACSM5","false","ACSM5","","Q6NUN0"
"1019","0.00450255102040816","EP300","false","EP300","Q09472","Q09472"
"1020","0.151059730250482","PIAS3","false","PIAS3","","Q9Y6X2"
"1021","0.00450255102040816","CCT3","false","CCT3","P49368","P49368"
"1022","0.00450255102040816","TRIM28","false","TRIM28","Q13263",""
"1023","0.258745874587459","CEP250","false","CEP250","Q9BV73","Q9BV73"
"1024","0.118787878787879","CNTLN","false","CNTLN","Q9NXG0",""
"1025","0.00450255102040816","TFIP11","false","TFIP11","A0A024R1I7","A0A024R1I7"
"1026","0.23573883161512","PCM1","false","PCM1","Q15154",""
"1027","1.0","CA3","false","CA3","","P07451"
"1028","0.0854030501089325","TCF12","false","TCF12","Q99081","Q99081"
"1029","1.0","TAF4","false","TAF4","O00268",""
"1030","0.00450255102040816","CTR9","false","CTR9","","Q6PD62"
"1031","1.0","ELL2","false","ELL2","O00472",""
"1032","0.00450255102040816","CCDC57","false","CCDC57","Q2TAC2","Q2TAC2"
"1033","0.00450255102040816","LENG1","false","LENG1","Q96BZ8","Q96BZ8"
