Bait	Prey	#Rep	#Pep	AvgP	BFDR
tbx5	P31941	3	1	0.3333	0.3333
gata4	P31942	3	3	0.2239	0.4518
tbx5	P31942	3	3	0.6336	0.2005
gata4	P31943	3	8	0.9740	0.0017
tbx5	P31943	3	8	0.7495	0.1103
gata4	P32322	3	36	1.0000	0.0000
tbx5	P32322	3	36	0.1667	0.4696
gata4	P32969	3	8	0.2841	0.4383
tbx5	P32969	3	8	0.3380	0.3330
gata4	P35030	3	2	0.0084	0.5285
tbx5	P35030	3	2	0.0586	0.5130
tbx5	P35226	3	4	0.5556	0.2208
gata4	P35232	3	7	0.5833	0.2117
tbx5	P35232	3	7	0.7500	0.1074
gata4	P35249	3	6	0.3333	0.3333
tbx5	P35249	3	6	0.7778	0.0805
gata4	P35250	3	3	0.3333	0.3333
tbx5	P35250	3	3	0.3331	0.4234
tbx5	P35251	3	8	0.5833	0.2117
gata4	P35268	3	4	0.1210	0.4867
tbx5	P35268	3	4	0.4314	0.3106
gata4	P35453	3	6	0.1111	0.4899
tbx5	P35453	3	6	1.0000	0.0000
gata4	P35579	3	70	0.0213	0.5234
tbx5	P35579	3	70	0.3907	0.3245
gata4	P35580	3	76	0.0146	0.5259
tbx5	P35580	3	76	0.4434	0.3062
gata4	P35613	3	2	0.3333	0.3333
tbx5	P35613	3	2	0.1667	0.4696
gata4	P35637	3	7	0.1396	0.4831
tbx5	P35637	3	7	0.4219	0.3151
tbx5	P35658	3	1	0.3333	0.3333
gata4	P35659	3	12	0.2805	0.4390
tbx5	P35659	3	12	0.7414	0.1118
tbx5	P35998	3	6	0.6667	0.1340
tbx5	P36402	3	1	0.3333	0.3333
gata4	P36542	3	5	0.4443	0.3034
tbx5	P36542	3	5	0.4440	0.3047
gata4	P36578	3	23	0.1656	0.4789
tbx5	P36578	3	23	0.6515	0.1966
tbx5	P37108	3	3	0.5555	0.2308
tbx5	P37198	3	2	0.3333	0.3333
gata4	P38159	3	10	0.6007	0.2080
tbx5	P38159	3	10	0.9091	0.0233
gata4	P38646	3	13	0.5687	0.2172
tbx5	P38646	3	13	0.6252	0.2032
gata4	P38919	3	12	0.0638	0.5114
tbx5	P38919	3	12	0.5864	0.2110
gata4	P39019	3	8	0.0476	0.5160
tbx5	P39019	3	8	0.6160	0.2066
gata4	P39023	3	19	0.1130	0.4883
tbx5	P39023	3	19	0.5059	0.2555
gata4	P39656	3	6	0.6611	0.1938
tbx5	P39656	3	6	0.6288	0.2018
tbx5	P39880	3	4	0.4444	0.2899
gata4	P40222	3	9	0.8655	0.0454
tbx5	P40424	3	5	1.0000	0.0000
tbx5	P40425	3	10	0.9999	0.0000
tbx5	P40426	3	5	0.6665	0.1840
gata4	P40429	3	6	0.0465	0.5165
tbx5	P40429	3	6	0.5092	0.2544
tbx5	P40937	3	3	0.4444	0.2899
tbx5	P40938	3	4	0.7778	0.0805
gata4	P41091	3	1	1.0000	0.0000
gata4	P42167	3	9	0.5808	0.2137
tbx5	P42167	3	9	0.6926	0.1252
tbx5	P42285	3	1	1.0000	0.0000
gata4	P42677	3	3	0.2593	0.4439
tbx5	P42677	3	3	0.6533	0.1960
tbx5	P42696	3	2	0.3327	0.4268
gata4	P42766	3	5	0.2647	0.4418
tbx5	P42766	3	5	0.5298	0.2472
gata4	P43243	3	19	0.5699	0.2160
tbx5	P43243	3	19	0.6427	0.1985
tbx5	P43686	3	9	0.8000	0.0743
gata4	P43694	3	48	1.0000	0.0000
gata4	P45880	3	8	0.0552	0.5146
tbx5	P45880	3	8	0.6669	0.1334
gata4	P45973	3	6	0.1043	0.4981
tbx5	P45973	3	6	0.8408	0.0516
tbx5	P46013	3	66	0.8221	0.0678
tbx5	P46060	3	4	0.5556	0.2208
gata4	P46063	3	8	0.9911	0.0003
tbx5	P46063	3	8	0.0833	0.5036
gata4	P46087	3	8	0.5501	0.2420
tbx5	P46087	3	8	0.5520	0.2413
tbx5	P46100	3	2	0.3332	0.4193
gata4	P46776	3	8	0.0833	0.5036
tbx5	P46776	3	8	0.4105	0.3186
tbx5	P46777	3	14	0.4065	0.3202
gata4	P46778	3	5	0.2203	0.4606
tbx5	P46778	3	5	0.6664	0.1860
tbx5	P46779	3	9	0.4501	0.2885
gata4	P46781	3	15	0.0180	0.5248
tbx5	P46781	3	15	0.5052	0.2559
tbx5	P46782	3	8	0.4617	0.2851
tbx5	P46783	3	3	0.4346	0.3094
gata4	P46977	3	2	0.1603	0.4801
tbx5	P46977	3	2	0.1667	0.4696
tbx5	P47756	3	5	0.5555	0.2308
gata4	P47914	3	2	0.1663	0.4787
tbx5	P47914	3	2	0.5000	0.2577
gata4	P48047	3	6	0.6719	0.1322
tbx5	P48047	3	6	0.4221	0.3148
tbx5	P48556	3	1	0.6667	0.1340
gata4	P49207	3	6	0.2820	0.4388
tbx5	P49207	3	6	0.6238	0.2038
gata4	P49411	3	5	0.2253	0.4516
tbx5	P49411	3	5	0.3208	0.4324
gata4	P49458	3	4	0.4432	0.3066
tbx5	P49458	3	4	0.5564	0.2199
gata4	P49674	3	4	0.4426	0.3069
tbx5	P49674	3	4	0.6664	0.1860
tbx5	P49711	3	2	0.3333	0.3333
tbx5	P49720	3	2	0.4999	0.2714
tbx5	P49721	3	2	0.3333	0.3333
gata4	P49750	3	4	0.4444	0.2899
tbx5	P49750	3	4	0.6667	0.1340
gata4	P49755	3	3	0.3333	0.3333
tbx5	P49755	3	3	0.3333	0.3333
gata4	P49756	3	5	0.3333	0.3333
tbx5	P49756	3	5	0.5556	0.2208
gata4	P49790	3	5	0.2222	0.4523
tbx5	P49790	3	5	0.6665	0.1840
tbx5	P49792	3	6	1.0000	0.0000
gata4	P49916	3	2	0.1129	0.4886
tbx5	P49916	3	2	0.3333	0.3333
tbx5	P49959	3	9	0.9141	0.0223
gata4	P50402	3	4	0.3333	0.3333
tbx5	P50402	3	4	0.6666	0.1767
tbx5	P50454	3	5	0.3327	0.4268
tbx5	P50750	3	3	0.5556	0.2208
gata4	P50914	3	5	0.0621	0.5119
tbx5	P50914	3	5	0.3292	0.4303
tbx5	P50990	3	2	0.3324	0.4279
tbx5	P50991	3	1	0.3333	0.3333
tbx5	P51114	3	4	0.4444	0.2899
gata4	P51148	3	2	0.0641	0.5108
tbx5	P51148	3	2	0.0001	0.5352
gata4	P51149	3	3	0.5556	0.2208
tbx5	P51149	3	3	0.2222	0.4523
gata4	P51512	3	1	0.8965	0.0265
tbx5	P51512	3	1	0.8510	0.0493
gata4	P51532	3	22	0.1078	0.4965
tbx5	P51532	3	22	1.0000	0.0000
gata4	P51571	3	3	0.4439	0.3053
tbx5	P51571	3	3	0.1111	0.4899
gata4	P51572	3	1	0.6666	0.1767
tbx5	P51572	3	1	0.6667	0.1340
gata4	P51608	3	2	0.1667	0.4696
tbx5	P51608	3	2	0.1590	0.4804
gata4	P51610	3	53	0.7965	0.0782
tbx5	P51610	3	53	0.7750	0.0977
tbx5	P51648	3	1	1.0000	0.0000
gata4	P51659	3	7	0.9149	0.0213
tbx5	P51665	3	3	0.5551	0.2390
gata4	P51991	3	29	0.2952	0.4375
tbx5	P51991	3	29	0.4856	0.2797
gata4	P52272	3	53	0.8827	0.0375
tbx5	P52272	3	53	0.9474	0.0065
gata4	P52292	3	15	0.7067	0.1236
tbx5	P52292	3	15	0.7913	0.0793
tbx5	P52434	3	1	1.0000	0.0000
gata4	P52597	3	6	1.0000	0.0000
tbx5	P52597	3	6	1.0000	0.0000
gata4	P52701	3	17	0.3704	0.3268
tbx5	P52701	3	17	0.8148	0.0699
tbx5	P52746	3	1	0.3333	0.3333
gata4	P52815	3	1	0.6667	0.1340
tbx5	P52815	3	1	0.3333	0.3333
tbx5	P52907	3	2	0.6667	0.1340
gata4	P52926	3	1	0.6637	0.1923
tbx5	P52926	3	1	0.6667	0.1340
tbx5	P52948	3	2	0.3333	0.3333
tbx5	P53007	3	1	0.3333	0.3333
gata4	P53350	3	14	0.7618	0.1035
tbx5	P53350	3	14	0.7143	0.1209
tbx5	P53621	3	1	0.3333	0.3333
tbx5	P53985	3	1	0.3332	0.4193
gata4	P53999	3	1	0.3198	0.4328
tbx5	P53999	3	1	0.5818	0.2133
